127.0.0.1 - - [07/Jan/2018:15:40:46 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:48 +0530] "GET /CollaborationFrontend/ HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:52 +0530] "GET /CollaborationFrontend/resources/js/bootstrap.min.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /CollaborationFrontend/app.js HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /CollaborationFrontend/Blog/BlogController.js HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /CollaborationFrontend/Forum/ForumService.js HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /CollaborationFrontend/User/UserService.js HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /CollaborationFrontend/Forum/ForumController.js HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /CollaborationFrontend/Event/EventService.js HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /CollaborationFrontend/resources/js/bootstrap.min.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /CollaborationFrontend/Chat/ChatController.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /CollaborationFrontend/Blog/BlogService.js HTTP/1.1" 200 2241
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /CollaborationFrontend/Event/EventController.js HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /CollaborationFrontend/User/LoginController.js HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /CollaborationFrontend/Chat/ChatService.js HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:40:53 +0530] "GET /CollaborationFrontend/User/Login.html HTTP/1.1" 200 5887
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:11 +0530] "GET /CollaborationFrontend/ HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:11 +0530] "GET /CollaborationFrontend/resources/js/bootstrap.min.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:11 +0530] "GET /CollaborationFrontend/User/LoginController.js HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:11 +0530] "GET /CollaborationFrontend/Blog/BlogController.js HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:11 +0530] "GET /CollaborationFrontend/User/UserService.js HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:11 +0530] "GET /CollaborationFrontend/app.js HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:11 +0530] "GET /CollaborationFrontend/Blog/BlogService.js HTTP/1.1" 200 2241
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:11 +0530] "GET /CollaborationFrontend/Forum/ForumController.js HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:11 +0530] "GET /CollaborationFrontend/Forum/ForumService.js HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:11 +0530] "GET /CollaborationFrontend/Chat/ChatService.js HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:11 +0530] "GET /CollaborationFrontend/Chat/ChatController.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:11 +0530] "GET /CollaborationFrontend/Event/EventController.js HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:11 +0530] "GET /CollaborationFrontend/Event/EventService.js HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:12 +0530] "GET /CollaborationFrontend/resources/js/bootstrap.min.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [07/Jan/2018:15:41:14 +0530] "GET /CollaborationFrontend/User/Login.html HTTP/1.1" 200 5887
